dataset,triangles,process_took
Caida::as-caida20070917.tsv,1891,73.53ms
Caida::as-caida20060109.tsv,3007,292.00ms
Caida::as-caida20070326.tsv,4221,361.58ms
Caida::as-caida20070910.tsv,4044,425.74ms
Caida::as-caida20070723.tsv,4175,507.81ms
Caida::as-caida20040802.tsv,2714,514.97ms
Caida::as-caida20040503.tsv,2824,545.40ms
Caida::as-caida20060123.tsv,2832,547.59ms
Caida::as-caida20060612.tsv,3201,559.47ms
Caida::as-caida20070122.tsv,4444,559.63ms
Caida::as-caida20050606.tsv,2984,571.05ms
Caida::as-caida20050905.tsv,2669,592.98ms
Caida::as-caida20060522.tsv,3303,610.29ms
Caida::as-caida20040705.tsv,2833,613.02ms
Caida::as-caida20040906.tsv,3498,613.91ms
Caida::as-caida20070319.tsv,4265,622.99ms
Caida::as-caida20061113.tsv,839,644.61ms
Caida::as-caida20061016.tsv,3650,648.09ms
Caida::as-caida20050801.tsv,3009,651.93ms
Caida::as-caida20060724.tsv,3275,655.62ms
Caida::as-caida20051107.tsv,2805,658.79ms
Caida::as-caida20070226.tsv,3865,661.78ms
Caida::as-caida20061002.tsv,3327,665.33ms
Caida::as-caida20070521.tsv,3958,670.96ms
Caida::as-caida20060508.tsv,3087,672.98ms
Caida::as-caida20060206.tsv,3472,673.17ms
Caida::as-caida20060320.tsv,3412,674.49ms
Caida::as-caida20040202.tsv,2551,692.93ms
Caida::as-caida20040301.tsv,2277,698.03ms
Caida::as-caida20041206.tsv,3037,698.47ms
Caida::as-caida20050404.tsv,2709,704.46ms
Caida::as-caida20060130.tsv,3317,722.38ms
Caida::as-caida20070212.tsv,4403,738.27ms
Caida::as-caida20061211.tsv,4249,742.85ms
Caida::as-caida20070108.tsv,4737,751.19ms
Caida::as-caida20050502.tsv,2862,751.73ms
Caida::as-caida20061204.tsv,4005,752.69ms
Caida::as-caida20041101.tsv,2938,755.43ms
Caida::as-caida20060213.tsv,3441,756.88ms
Caida::as-caida20060424.tsv,3249,760.26ms
Caida::as-caida20060626.tsv,3531,761.62ms
Caida::as-caida20060327.tsv,3628,766.49ms
Caida::as-caida20070219.tsv,3660,769.08ms
Caida::as-caida20060313.tsv,3322,775.62ms
Caida::as-caida20050704.tsv,3085,777.44ms
Caida::as-caida20060220.tsv,3471,781.38ms
Caida::as-caida20060807.tsv,3704,781.87ms
Caida::as-caida20060619.tsv,3306,786.96ms
Caida::as-caida20061106.tsv,3059,789.61ms
Caida::as-caida20051003.tsv,2964,796.28ms
Caida::as-caida20050103.tsv,2964,797.77ms
Caida::as-caida20060814.tsv,3455,806.50ms
Caida::as-caida20061127.tsv,3913,808.05ms
Caida::as-caida20060828.tsv,3841,808.28ms
Caida::as-caida20070305.tsv,3938,808.65ms
Caida::as-caida20070205.tsv,4116,813.76ms
Caida::as-caida20070903.tsv,3786,817.25ms
Caida::as-caida20050307.tsv,2773,817.95ms
Caida::as-caida20060116.tsv,3027,819.43ms
Caida::as-caida20060605.tsv,3229,819.63ms
Caida::as-caida20051205.tsv,2850,825.76ms
Caida::as-caida20041004.tsv,3181,829.13ms
Caida::as-caida20060703.tsv,3097,831.91ms
Caida::as-caida20060911.tsv,4085,835.09ms
Caida::as-caida20060904.tsv,3935,849.00ms
Caida::as-caida20050207.tsv,2547,849.01ms
Caida::as-caida20060417.tsv,3602,850.96ms
Caida::as-caida20070312.tsv,3804,856.48ms
Caida::as-caida20061009.tsv,3898,859.72ms
Caida::as-caida20070924.tsv,4221,866.23ms
Caida::as-caida20070813.tsv,3656,868.52ms
Caida::as-caida20040405.tsv,2825,872.25ms
Caida::as-caida20070625.tsv,4144,872.41ms
Caida::as-caida20060403.tsv,3262,883.02ms
Caida::as-caida20060731.tsv,3254,890.92ms
Caida::as-caida20071015.tsv,4281,895.63ms
Caida::as-caida20061120.tsv,3835,897.36ms
Caida::as-caida20040607.tsv,3028,900.46ms
Caida::as-caida20060227.tsv,3287,901.56ms
Caida::as-caida20060102.tsv,2868,902.15ms
Caida::as-caida20070820.tsv,3857,909.10ms
Caida::as-caida20070129.tsv,3951,933.12ms
Caida::as-caida20060710.tsv,3278,935.61ms
Caida::as-caida20061218.tsv,4069,938.40ms
